College Name, Admission Rate, ACT Composite, SAT Math, SAT R/W, Rank Top 10%, Rank Top 25%, Rank Top 50%
Adelphi University,74%,22-28,540-640,550-630,28%,61%,91%
Agnes Scott College,65%,24-30,540-650,590-690,38%,66%,95%
Albion College,69%,21-27,490-590,500-610,Not Reported,Not Reported,Not Reported
Alfred University,66%,19-26,470-590,470-590,13%,34%,67%
Allegheny College,62%,24-30,580-680,590-680,40%,63%,85%
American University,36%,27-31,590-690,620-700,Not Reported,Not Reported,Not Reported
Amherst College,11%,31-34,720-790,690-760,88%,98%,100%
Appalachian State University,80%,22-28,540-630,560-640,16%,52%,90%
Arizona State University,86%,22-28,560-690,560-670,31%,61%,88%
Auburn University,81%,25-31,570-670,580-650,33%,63%,89%
Augustana College (IL),57%,23-29,560-670,530-650,31%,64%,91%
Austin College,51%,24-29,550-650,560-660,29%,59%,90%
Babson College,26%,27-32,650-760,620-690,Not Reported,Not Reported,Not Reported
Ball State University,77%,20-24,530-610,550-630,14%,42%,85%
Bard College,65%,27-31,608-705,636-708,40%,68%,94%
Barnard College,12%,31-34,670-770,670-750,84%,99%,100%
Baruch College (CUNY),43%,Not Reported,580-690,550-640,41%,74%,92%
Bates College,12%,29-33,640-730,630-750,71%,90%,99%
Baylor University,45%,26-32,600-700,600-680,44%,76%,96%
Belmont University,84%,24-29,550-650,580-670,32%,61%,91%
Beloit College,62%,24-30,530-700,550-680,29%,67%,92%
Bennington College,61%,29-32,590-700,660-740,29%,69%,91%
Bentley University,47%,27-31,630-730,600-680,37%,73%,97%
Berea College,30%,23-27,540-640,550-660,25%,72%,97%
Binghamton University,41%,29-32,650-740,630-700,Not Reported,Not Reported,Not Reported
Birmingham Southern College,54%,22-29,540-650,570-660,24%,49%,77%
Boise State University,77%,20-26,510-610,520-620,15%,40%,74%
Boston College,27%,31-34,680-770,660-730,82%,93%,98%
Boston University,19%,30-34,690-790,650-720,64%,92%,100%
Bowdoin College,9%,31-34,670-780,660-740,85%,97%,100%
Bowling Green State University,72%,20-25,510-600,500-610,16%,42%,75%
Bradley University,70%,22-28,530-640,540-630,25%,60%,87%
Brandeis University,30%,30-33,690-790,660-730,56%,83%,97%
Brigham Young University,67%,26-31,600-710,610-710,54%,85%,98%
Brooklyn College (CUNY),45%,Not Reported,530-620,510-600,17%,49%,79%
Brown University,7%,33-35,740-800,700-770,94%,98%,100%
Bryant University,71%,25-29,570-660,560-640,20%,48%,88%
Bryn Mawr College,33%,29-33,650-770,640-740,67%,95%,99%
Bucknell University,34%,28-32,635-730,620-700,58%,83%,98%
Butler University,73%,24-30,570-670,580-660,45%,77%,96%
